t,p
322,0.9190858249
323,0.9505115119
324,0.9716913846
325,0.9837054117
326,0.9877073468
327,0.984874344
328,0.976399455
329,0.9635028328
330,0.9474499556
331,0.9295777835
332,0.9113251697
333,0.8942505252
334,0.8800251205
335,0.8703962107
336,0.8671417466
337,0.8720142221
338,0.8865878859
339,0.9118090374
340,0.9471076928
341,0.9892920451
342,1.032236683
343,1.068779004
344,1.09409333
345,1.107410518
346,1.111031136
347,1.108487769
348,1.103301619
349,1.098449567
350,1.096201828
351,1.098077868
352,1.104821949
353,1.116410694
354,1.132140479
355,1.150820273
356,1.171054413
357,1.191505921
358,1.211028906
359,1.228584942
360,1.242901552
361,1.251899471
362,1.252224785
363,1.239863421
364,1.212667707
365,1.172715353
366,1.125277991
367,1.075868844
368,1.028537631
369,0.9856532656
370,0.948180667
371,0.9159758566
372,0.8880538553
373,0.862870785
374,0.8386578431
375,0.8137757654
376,0.787026539
377,0.7578421668
378,0.7262846434
379,0.6928844756
380,0.6584129641
381,0.6237014375
382,0.5895614583
383,0.5568207902
384,0.5264655366
385,0.4998668858
386,0.4790223542
387,0.4666665548
388,0.466032283
389,0.4800184038
390,0.5098455585
391,0.5540560005
392,0.6088744228
393,0.6697136031
394,0.7325788588
395,0.7946326378
396,0.8540639822
397,0.9096874454
398,0.9605618549
399,1.005774778
400,1.044433962
401,1.075802659
402,1.099457361
403,1.115359184
404,1.123828482
405,1.125475835
406,1.121141885
407,1.111880549
408,1.099007938
409,1.084188708
410,1.069517424
411,1.057492058
412,1.050773135
413,1.051703378
414,1.061739441
415,1.080979676
416,1.107770377
417,1.138321014
418,1.166679003
419,1.185860928
420,1.190309468
421,1.178116018
422,1.151182738
423,1.113580077
424,1.069762452
425,1.02357803
426,0.9780130921
427,0.9352947047
428,0.8970816476
429,0.864616713
430,0.8387851512
431,0.820052428
432,0.8082875256
433,0.8025303029
434,0.8008551065
435,0.8004617624
436,0.7980554047
437,0.7904727659
438,0.7755049646
439,0.7527043606
440,0.7236559039
441,0.6914124512
442,0.6595559062
443,0.6316095284
444,0.610977742
445,0.6010521946
446,0.6049912188
447,0.6248622878
448,0.6604217591
449,0.7085699037
450,0.7642838266
451,0.8224370162
452,0.8791770654
453,0.9323046227
454,0.9809617908
455,1.025109109
456,1.065060793
457,1.101208179
458,1.133909963
459,1.163446286
460,1.189879757
461,1.212833684
462,1.231448182
463,1.244761809
464,1.252283311
465,1.254329275
466,1.252042455
467,1.247271223
468,1.242403355
469,1.240098589
470,1.242774205
471,1.251782946
472,1.266401884
473,1.283061944
474,1.295651935
475,1.29757818
476,1.284574388
477,1.256024457
478,1.214153124
479,1.162432548
480,1.104366329
481,1.042917556
482,0.9803833565
483,0.9184965289
484,0.8585868478
485,0.8016946067
486,0.7486117645
487,0.6998916689
488,0.655849046
489,0.6165446506
490,0.5817408559
491,0.5508361823
492,0.5228636789
493,0.4966542192
494,0.4711919228
495,0.4460143302
496,0.4214059277
497,0.3982802643
498,0.3779647434
499,0.3621428603
500,0.3530384722
501,0.3537250346
502,0.3682312998
503,0.4007817084
504,0.4535070146
505,0.5235684971
506,0.6029367435
507,0.6820479702
508,0.7537348401
509,0.8143991111
510,0.8631639044
511,0.9006644405
512,0.9281870706
513,0.9471688239
514,0.9589257551
515,0.9645168329
516,0.9647229963
517,0.9601211934
518,0.9512265586
519,0.9386286842
520,0.923081245
521,0.9055533328
522,0.8872918903
523,0.8699258899
524,0.8556102412
525,0.8471016689
526,0.8475371603
527,0.8596752758
528,0.884748642
529,0.9214601222
530,0.9655787356
531,1.010661471
532,1.050316862
533,1.080664853
534,1.101037424
535,1.11297424
536,1.118927217
537,1.121421889
538,1.12270878
539,1.124664982
540,1.128761282
541,1.136009235
542,1.146887637
543,1.161291744
544,1.178572839
545,1.197680975
546,1.217410313
547,1.236647357
548,1.254480479
549,1.269973806
550,1.281483498
551,1.285827024
552,1.278496634
553,1.256191246
554,1.219729039
555,1.173559336
556,1.122892481
557,1.071795829
558,1.022827263
559,0.9772931949
560,0.9355752878
561,0.8973802764
562,0.8619450916
563,0.8282379401
564,0.795178713
565,0.7618662456
566,0.7277580052
567,0.6927415883
568,0.6570768261
569,0.6212532362
570,0.5858348731
571,0.5513674521
572,0.5183878631
573,0.4875426665
574,0.4597781207
575,0.4365315834
576,0.4198520978
577,0.412403362
578,0.4172154178
579,0.4369466019
580,0.4726981088
581,0.5230766814
582,0.5843709407
583,0.6517864319
584,0.7207783209
585,0.7877515467
586,0.8501252966
587,0.9061101696
588,0.9544863096
589,0.9944861863
590,1.025762265
591,1.048360481
592,1.062662083
593,1.069298608
594,1.069066209
595,1.06286991
596,1.051720268
597,1.036780305
598,1.01944629
599,1.001438172
600,0.9848649065
601,0.9721900855
602,0.9660109394
603,0.9686239446
604,0.9814971692
605,1.004775183
606,1.036774636
607,1.07341121
608,1.108131525
609,1.133505764
610,1.144316733
611,1.139621239
612,1.122070753
613,1.095883629
614,1.065263061
615,1.033743048
616,1.00410603
617,0.9785037286
618,0.9585784371
619,0.945499567
620,0.9398905853
621,0.941679412
622,0.9499503836
623,0.9629268919
624,0.9781146194
625,0.9925191312
626,1.002786433
627,1.0053459
628,0.9969888577
629,0.9761997868
630,0.9444428231
631,0.9058880195
632,0.8656915352
633,0.8285352056
634,0.798181023
635,0.7775077188
636,0.7684429281
637,0.7716629536
638,0.7863223826
639,0.8101611989
640,0.840064248
641,0.8727706057
642,0.9053623674
643,0.9354180643
644,0.9609749691
645,0.980536319
646,0.9932652875
647,0.999303839
648,1.000040095
649,0.9981740697
650,0.9975424591
651,1.002495378
652,1.016501649
653,1.040284828
654,1.071146713
655,1.104599124
656,1.136815784
657,1.165868872
658,1.191565492
659,1.214666737
660,1.236019911
661,1.255834852
662,1.273253334
663,1.286418602
664,1.293126633
665,1.291803652
666,1.282295456
667,1.265986071
668,1.245349501
669,1.223196004
670,1.201946778
671,1.183048726
672,1.166555101
673,1.150925081
674,1.133204312
675,1.109834269
676,1.078180119
677,1.037878346
678,0.9907232403
679,0.9393751427
680,0.8862273431
681,0.8329806144
682,0.7807008641
683,0.7300549047
684,0.6815459325
685,0.6356691615
686,0.5929678757
687,0.5540229049
688,0.5194190016
689,0.4897085791
690,0.4653556328
691,0.4466384141
692,0.4335345775
693,0.4256772907
694,0.4224688347
695,0.4234184328
696,0.4286149046
697,0.4391872393
698,0.4575297566
699,0.4869327847
700,0.5302381836
701,0.5877029412
702,0.6555600731
703,0.7270219087
704,0.7951044491
705,0.8548203182
706,0.9036492121
707,0.9409708384
708,0.9673268963
709,0.9838770969
710,0.9920696444
711,0.9934620669
712,0.989626338
713,0.9820856115
714,0.9722572772
715,0.9613911887
716,0.9505256672
717,0.9404904743
718,0.9319916437
719,0.9257786309
720,0.9228656318
721,0.9247149889
722,0.9332348814
723,0.9503697863
724,0.9771699997
725,1.012488592
726,1.05192352
727,1.088442527
728,1.115517465
729,1.130336446
730,1.134086413
731,1.130076275
732,1.121971179
733,1.112911055
734,1.105237788
735,1.100477656
736,1.099409663
737,1.102179024
738,1.108447396
739,1.117561369
740,1.128700901
741,1.140965233
742,1.153374773
743,1.164780601
744,1.173667203
745,1.177873616
746,1.174392473
747,1.15983331
748,1.132166115
749,1.092734689
750,1.045999938
751,0.9971614074
752,0.9503292906
753,0.9080994123
754,0.8717557416
755,0.8415341771
756,0.8168538219
757,0.7965472109
758,0.7791294154
759,0.7630753492
760,0.7470542819
761,0.7300842867
762,0.711596682
763,0.6914208089
764,0.6697295938
765,0.646974805
766,0.6238580097
767,0.6013593124
768,0.5808677111
769,0.5644202016
770,0.5549667593
771,0.556332064
772,0.5723359751
773,0.6049153045
774,0.6524136388
775,0.709912001
776,0.7715243454
777,0.8325321491
778,0.8900803492
779,0.9428361852
780,0.9903813688
781,1.032717085
782,1.06996587
783,1.10222284
784,1.12950637
785,1.151773754
786,1.168974351
787,1.181116325
788,1.188330297
789,1.190923779
790,1.189436906
791,1.184715744
792,1.178028284
793,1.171185734
794,1.166564758
795,1.166819234
796,1.174145411
797,1.189226178
798,1.210209104
799,1.232249449
800,1.248394773
801,1.252125137
802,1.240012147
803,1.212435334
804,1.172333016
805,1.123529894
806,1.069639808
807,1.013625598
808,0.9577448837
809,0.9036516423
810,0.8525331853
811,0.8052315857
812,0.7623323503
813,0.7242074497
814,0.6910009108
815,0.6625393273
816,0.6381893456
817,0.6167260181
818,0.5964128103
819,0.5754251823
820,0.5525339261
821,0.5276506615
822,0.5018500203
823,0.4769357278
824,0.4550230974
825,0.4384594687
826,0.4300251402
827,0.4331217842
828,0.4514866626
829,0.487913046
830,0.5421303856
831,0.6095589887
832,0.6827392084
833,0.7544155913
834,0.8196408116
835,0.8760412796
836,0.9231160295
837,0.9614207998
838,0.9919662066
839,1.015805324
840,1.03377582
841,1.04637451
842,1.053787461
843,1.056068567
844,1.053373207
845,1.046132049
846,1.0351245
847,1.021486783
848,1.006739656
849,0.9928487585
850,0.9822833688
851,0.9779170365
852,0.9825730127
853,0.9981586425
854,1.024596048
855,1.058927189
856,1.095157353
857,1.125885153
858,1.145367372
859,1.15151526
860,1.145437031
861,1.129831529
862,1.107720074
863,1.081880618
864,1.054729459
865,1.028364339
866,1.004609361
867,0.9850100472
868,0.9707735882
869,0.9626628823
870,0.9608465405
871,0.9647545686
872,0.9729729805
873,0.9832410328
874,0.9925289734
875,0.9971800199
876,0.9933208406
877,0.9780113794
878,0.9509480979
879,0.915045509
880,0.8749577636
881,0.8351839294
882,0.799261436
883,0.7698190896
884,0.7488057219
885,0.7375676235
886,0.7367284205
887,0.7459879063
888,0.7640221689
889,0.7886509491
890,0.8172300681
891,0.8470834934
892,0.8757996972
893,0.9013773428
894,0.9223310236
895,0.9378823782
896,0.9482466031
897,0.9548995771
898,0.9606799351
899,0.9694782771
900,0.9851462227
901,1.009614906
902,1.041512526
903,1.076915377
904,1.111638272
905,1.142957965
906,1.169957672
907,1.193059016
908,1.213389102
909,1.232208032
910,1.250432684
911,1.268259624
912,1.285007421
913,1.299248806
914,1.309305715
915,1.313939783
916,1.312899518
917,1.30701399
918,1.297798009
919,1.286785544
920,1.27484347
921,1.261638906
922,1.24540276
923,1.223230006
924,1.192252235
925,1.151340597
926,1.101829956
927,1.046583153
928,0.9885763745
929,0.9301098028
930,0.8726643926
931,0.8170579165
932,0.7636799901
933,0.7127129716
934,0.6643020124
935,0.6186447234
936,0.576005167
937,0.5366744361
938,0.5009166008
939,0.4689195445
940,0.4407614136
941,0.4163999275
942,0.3957050314
943,0.3785623077
944,0.3650658736
945,0.3557844261
946,0.3520982943
947,0.3564928167
948,0.3725853495
949,0.4044132429
950,0.4544777899
951,0.5211731218
952,0.5980871663
953,0.6765902788
954,0.7493403245
955,0.8119014473
956,0.8624619998
957,0.9009189338
958,0.9280932917
959,0.9452399606
960,0.9537737462
961,0.955125161
962,0.9506628658
963,0.9416506963
964,0.9292239714
965,0.9143893533
966,0.8980539288
967,0.8810981565
968,0.8645013198
969,0.8495144213
970,0.8378571539
971,0.8318320969
972,0.8341769366
973,0.8474455887
974,0.8729916628
975,0.9099452007
976,0.9545598615
977,1.000563326
978,1.041284203
979,1.072507625
980,1.093605733
981,1.106530644
982,1.114243703
983,1.119650046
984,1.125112295
985,1.13229518
986,1.142158535
987,1.155020807
988,1.170661987
989,1.188465364
990,1.207574848
991,1.227062779
992,1.246085405
993,1.263994826
994,1.280331691
995,1.294556464
996,1.305393871
997,1.309969678
998,1.303771083
999,1.282942115
1000,1.247596563
1001,1.201920563
1002,1.151227406
1003,1.099695882
1004,1.049833599
1005,1.002744635
1006,0.9585305378
1007,0.9166741997
1008,0.8763614844
1009,0.8367648021
1010,0.7972576336
1011,0.7575290334
1012,0.7175982923
1013,0.6777394187
1014,0.6383669278
1015,0.5999256879
1016,0.5628133929
1017,0.5273583742
1018,0.4938632342
1019,0.4627225167
1020,0.4345966106
1021,0.4105890615
1022,0.3923684619
1023,0.3822007264
1024,0.3828200894
1025,0.3969540941
1026,0.4264220349
1027,0.4711636091
1028,0.5288802247
1029,0.5955827482
1030,0.6666088836
1031,0.7374994434
1032,0.8044934344
1033,0.8647363261
1034,0.916331977
1035,0.9582871582
1036,0.9903703419
1037,1.012908958
1038,1.026595135
1039,1.032319184
1040,1.031059171
1041,1.02382445
1042,1.01165817
1043,0.9956868882
1044,0.9772008122
1045,0.9577473954
1046,0.9392090019
1047,0.9238199128
1048,0.9140477725
1049,0.9122928486
1050,0.9204598625
1051,0.9395149701
1052,0.9690343893
1053,1.006598452
1054,1.04717734
1055,1.083571437
1056,1.108963167
1057,1.120037282
1058,1.117722993
1059,1.105521251
1060,1.087584611
1061,1.067674158
1062,1.048854977
1063,1.033511245
1064,1.023414049
1065,1.019730409
1066,1.022949394
1067,1.03278873
1068,1.048175464
1069,1.067386252
1070,1.088334377
1071,1.10882092
1072,1.126543291
1073,1.13880591
1074,1.142247396
1075,1.133329929
1076,1.110178567
1077,1.074537657
1078,1.03136232
1079,0.9864279089
1080,0.9445196399
1081,0.9089841065
1082,0.8818435074
1083,0.8638971775
1084,0.8547599547
1085,0.8529686438
1086,0.8562483645
1087,0.8618759188
1088,0.867039116
1089,0.8691531424
1090,0.8661712708
1091,0.8568919794
1092,0.84114782
1093,0.819748531
1094,0.7942340471
1095,0.7666286092
1096,0.7393673902
1097,0.7154205271
1098,0.6984577761
1099,0.692665588
1100,0.7017035071
1101,0.7268382657
1102,0.7656942437
1103,0.8131891992
1104,0.8639458703
1105,0.914031594
1106,0.9612410078
1107,1.004578682
1108,1.043680129
1109,1.078500288
1110,1.109270446
1111,1.136571372
1112,1.161323844
1113,1.184563564
1114,1.207041793
1115,1.228847822
1116,1.249340158
1117,1.267439784
1118,1.282135738
1119,1.292960106
1120,1.300273877
1121,1.305340191
1122,1.310131769
1123,1.316703245
1124,1.326080387
1125,1.337059303
1126,1.345734075
1127,1.346627574
1128,1.335096947
1129,1.309294433
1130,1.270336002
1131,1.221136474
1132,1.165074108
1133,1.105132558
1134,1.043558768
1135,0.9818654958
1136,0.9210183478
1137,0.8616766902
1138,0.8043846503
1139,0.7496507796
1140,0.6979352441
1141,0.6495975408
1142,0.6048472653
1143,0.5637078691
1144,0.5259926888
1145,0.491312577
1146,0.4591695035
1147,0.4291497425
1148,0.4011264562
1149,0.3753551118
1150,0.3524489872
1151,0.333358498
1152,0.3194688043
1153,0.3128271684
1154,0.3163963302
1155,0.3340352498
1156,0.369630808
1157,0.4249323724
1158,0.4970672647
1159,0.5783970373
1160,0.6596614034
1161,0.7335581569
1162,0.7960881653
1163,0.8459805138
1164,0.8835968329
1165,0.9100748896
1166,0.9268169094
1167,0.9352162592
1168,0.9365287554
1169,0.9318368072
1170,0.9220834554
1171,0.9081415959
1172,0.8908893138
1173,0.8712713625
1174,0.8503640954
1175,0.8294649973
1176,0.8102235298
1177,0.7947876537
1178,0.7858613564
1179,0.78646363
1180,0.7992175299
1181,0.8253349193
1182,0.8637487418
1183,0.9106886001
1184,0.9601190648
1185,1.005643873
1186,1.04300516
1187,1.071147232
1188,1.091439242
1189,1.106341158
1190,1.118429635
1191,1.129914658
1192,1.142442713
1193,1.157017942
1194,1.173979764
1195,1.193034576
1196,1.213389562
1197,1.233977226
1198,1.253742013
1199,1.271915661
1200,1.288212488
1201,1.302844868
1202,1.316245824
1203,1.328362873
1204,1.337552294
1205,1.339734009
1206,1.329577386
1207,1.304218178
1208,1.265514273
1209,1.218119414
1210,1.166579942
1211,1.114046259
1212,1.062237068
1213,1.011798779
1214,0.9626965373
1215,0.9145650082
1216,0.8669949238
1217,0.8197470341
1218,0.772853207
1219,0.7265996634
1220,0.6814243592
1221,0.637791359
1222,0.5960867137
1223,0.5565609499
1224,0.5193233829
1225,0.4843945694
1226,0.4518215172
1227,0.4218363476
1228,0.3950149599
1229,0.37236185
1230,0.35534149
1231,0.3459119434
1232,0.3465114614
1233,0.3598187139
1234,0.3881248973
1235,0.4323777916
1236,0.4913106939
1237,0.5612173337
1238,0.636638889
1239,0.7116684865
1240,0.7812348121
1241,0.8418497034
1242,0.8917059442
1243,0.9303449566
1244,0.9581915043
1245,0.976152555
1246,0.9853393315
1247,0.9868997423
1248,0.9819418952
1249,0.9715247785
1250,0.9566966209
1251,0.9385631952
1252,0.9183638472
1253,0.8975473771
1254,0.8778459533
1255,0.8613205806
1256,0.8503210659
1257,0.8472923154
1258,0.8544047006
1259,0.8730599623
1260,0.9033213546
1261,0.9432285435
1262,0.9881517073
1263,1.031208429
1264,1.065735543
1265,1.088262545
1266,1.099235338
1267,1.101543691
1268,1.098810339
1269,1.09441062
1270,1.091113292
1271,1.090996653
1272,1.095423063
1273,1.104998759
1274,1.119542002
1275,1.138161526
1276,1.159456508
1277,1.181861989
1278,1.203984588
1279,1.22477393
1280,1.243384543
1281,1.258670678
1282,1.268413873
1283,1.268835813
1284,1.255680035
1285,1.227309865
1286,1.186682587
1287,1.139473612
1288,1.0910609
1289,1.045167276
1290,1.003823982
1291,0.9676856875
1292,0.9363422813
1293,0.9085994838
1294,0.8827826611
1295,0.8570825611
1296,0.829922488
1297,0.8002764283
1298,0.7678353952
1299,0.732946741
1300,0.696380792
1301,0.6590539465
1302,0.6218401728
1303,0.5855196147
1304,0.5508565472
1305,0.5187738779
1306,0.4905748039
1307,0.4681346062
1308,0.4539530562
1309,0.4509276191
1310,0.4616636828
1311,0.4873777481
1312,0.5270536089
1313,0.5776489213
1314,0.635250291
1315,0.6962584096
1316,0.7579479178
1317,0.818419117
1318,0.8762518695
1319,0.9301441475
1320,0.9787356343
1321,1.020689488
1322,1.054933552
1323,1.080870707
1324,1.098428742
1325,1.107978765
1326,1.110213303
1327,1.106055632
1328,1.096630796
1329,1.083302619
1330,1.067747396
1331,1.052013244
1332,1.038495446
1333,1.029735207
1334,1.02802972
1335,1.034978597
1336,1.051116828
1337,1.075645482
1338,1.106079714
1339,1.137880725
1340,1.164626735
1341,1.179602743
1342,1.178521364
1343,1.161244893
1344,1.131030862
1345,1.092484356
1346,1.049977693
1347,1.007036707
1348,0.9663277644
1349,0.9298431696
1350,0.8990753404
1351,0.8750931115
1352,0.8584880319
1353,0.8492104498
1354,0.8463631471
1355,0.8480977024
1356,0.8517186699
1357,0.8539956616
1358,0.8516140397
1359,0.8417893962
1360,0.8230668053
1361,0.7959937267
1362,0.7630865567
1363,0.7280125142
1364,0.6946555088
1365,0.6666790652
1366,0.6475264145
1367,0.6403967143
1368,0.6477812826
1369,0.6705307559
1370,0.7070749702
1371,0.7536455462
1372,0.8055693638
1373,0.8587017149
1374,0.9101707569
1375,0.9583751029
1376,1.00260779
1377,1.04266364
1378,1.078615174
1379,1.110803941
1380,1.139910998
1381,1.166856657
1382,1.192355416
1383,1.216280835
1384,1.23747738
1385,1.254375415
1386,1.265930806
1387,1.272159355
1388,1.274138954
1389,1.273769204
1390,1.27345031
1391,1.275627627
1392,1.282116488
1393,1.293237753
1394,1.30700831
1395,1.318963006
1396,1.323256654
1397,1.314949146
1398,1.291943544
1399,1.255210639
1400,1.207622331
1401,1.152579617
1402,1.093111891
1403,1.031524617
1404,0.9694391198
1405,0.9080394332
1406,0.8483234753
1407,0.791201143
1408,0.7374470025
1409,0.6876204516
1410,0.642025278
1411,0.600692575
1412,0.5633639022
1413,0.5294911801
1414,0.4983093854
1415,0.4690301669
1416,0.4411166908
1417,0.414494355
1418,0.3895880236
1419,0.3672208947
1420,0.3485510901
1421,0.3351598983
1422,0.3292918244
1423,0.3341120816
1424,0.3536350224
1425,0.3916910784
1426,0.4495218915
1427,0.5233052605
1428,0.6045760519
1429,0.6839970121
1430,0.7548858163
1431,0.8140518315
1432,0.8608607559
1433,0.8960547704
1434,0.9209451843
1435,0.9369547796
1436,0.9453889633
1437,0.9473423663
1438,0.9437064028
1439,0.9352418826
1440,0.9226800138
1441,0.9068071902
1442,0.8885259142
1443,0.868913259
1444,0.8493036426
1445,0.8314194542
1446,0.8175092363
1447,0.8103806527
1448,0.8130919234
1449,0.8281404957
1450,0.8563684136
1451,0.8960925623
1452,0.9428155902
1453,0.9900897002
1454,1.031824093
1455,1.064566351
1456,1.0879757
1457,1.103763109
1458,1.114430891
1459,1.122484613
1460,1.130077402
1461,1.138877218
1462,1.150002626
1463,1.16397262
1464,1.18069427
1465,1.199539347
1466,1.219510003
1467,1.239501857
1468,1.258585054
1469,1.27620687
1470,1.292200834
1471,1.306433518
1472,1.317992986
1473,1.324133991
1474,1.320131072
1475,1.301672994
1476,1.268370022
1477,1.223985417
1478,1.173591294
1479,1.121325819
1480,1.069805372
1481,1.020335059
1482,0.9732652451
1483,0.9283230883
1484,0.8848958316
1485,0.8422913256
1486,0.7999625071
1487,0.7576552294
1488,0.7154425413
1489,0.6736512739
1490,0.6327299336
1491,0.5931196665
1492,0.5551699565
1493,0.5191203053
1494,0.4851592275
1495,0.4535545368
1496,0.4248256151
1497,0.3999001495
1498,0.3802006685
1499,0.3676887246
1500,0.3648495507
1501,0.3744471479
1502,0.3988579186
1503,0.4390617809
1504,0.493828645
1505,0.5597056449
1506,0.6318489719
1507,0.7051408914
1508,0.7750597008
1509,0.8381486678
1510,0.8921602793
1511,0.9359770352
1512,0.9693945938
1513,0.9928389843
1514,1.007116598
1515,1.013215348
1516,1.012179393
1517,1.005051695
1518,0.9928779698
1519,0.9767555356
1520,0.9579072085
1521,0.9377651285
1522,0.9180519686
1523,0.9008341481
1524,0.888482813
1525,0.8834733991
1526,0.8880084043
1527,0.9035485517
1528,0.9303316583
1529,0.9667950077
1530,1.008893419
1531,1.050036326
1532,1.082973743
1533,1.103048931
1534,1.109841269
1535,1.106076786
1536,1.095666026
1537,1.082407221
1538,1.069493164
1539,1.059429471
1540,1.054060537
1541,1.054562945
1542,1.061386826
1543,1.074193132
1544,1.091894259
1545,1.112858793
1546,1.135238541
1547,1.157255942
1548,1.177238771
1549,1.193292051
1550,1.202733808
1551,1.201869377
1552,1.187136883
1553,1.157737475
1554,1.117063255
1555,1.070922089
1556,1.024825143
1557,0.982754929
1558,0.9471100815
1559,0.9189318562
1560,0.8980813472
1561,0.8834183118
1562,0.873029485
1563,0.8645433736
1564,0.855483563
1565,0.8436433371
1566,0.8274474245
1567,0.8062107249
1568,0.7801696768
1569,0.7502594343
1570,0.717795381
